,Actual,Neural_Network_Forecast,Residuals
2024-01-31,197.71809144784228,164.5213,33.19679017831103
2024-02-29,199.1847992231863,192.36565,6.819152860881616
2024-03-31,218.94092792266278,213.63135,5.30958026641278
2024-04-30,220.07458859791842,229.6899,-9.615307031964392
2024-05-31,217.93589807415896,237.04642,-19.11051916216917
2024-06-30,219.05838144420434,238.95822,-19.89983999134253
2024-07-31,213.15499761247978,233.8711,-20.716096137520225
2024-08-31,204.65640059558098,215.6315,-10.975099648559649
2024-09-30,190.48340430819806,214.04738,-23.563974231841
2024-10-31,192.4539381207439,196.84946,-4.3955186663654615
2024-11-30,200.33580908132905,187.41585,12.919961303008733
2024-12-31,212.8777256356118,176.47623,36.40149882897117
